"Site_id","Longitude","Latitude","veg_year","Percent_Cover_Tree(m??)","Percent_Cover_Shrub(m??)","Percent_Cover_Herb(m??)","Percent_Cover_Carpet(m??)","Avg_Height_Tree(m)","Avg_Height_Shrub(m)","Avg_Height_Herb(m)","Avg_Height_Carpet(m)","Volume_Tree(m??)","Volume_Shrub(m??)","Volume_Herb(m??)","Volume_Carpet(m??)","Volume_Vegetation(m??)","VVI"
"CRMS0033",-90.3855,30.27445,2006,0,0,2.08,0,0,0,0.834,0,0,0,1.6974,0,1.6974,26.705
"CRMS0034",-90.3855,30.30348,2006,0,0,2.24,0,0,0,0.717,0,0,0,1.5698,0,1.5698,24.8945
"CRMS0118",-89.54172,29.37444,2006,0,0,2.48,0,0,0,0.4156,0,0,0,1.0403,0,1.0403,20.401
"CRMS0119",-89.63548,29.47605,2006,0,0,3.2,0,0,0,0.8258,0,0,0,2.6327,0,2.6327,56.0175
"CRMS0129",-89.60422,29.46879,2006,0,0,2.52,0,0,0,0.985,0,0,0,2.549,0,2.549,53.953
"CRMS0135",-89.76048,29.68654,2006,0,0,2.84,0,0,0,1.1552,0,0,0,3.3565,0,3.3565,64.8849
"CRMS0136",-89.79173,29.62122,2006,0,0,3.488,0,0,0,0.9813,0,0,0,3.4244,0,3.4244,77.7345
"CRMS0147",-89.60422,29.66476,2006,0,0,3.656,0,0,0,0.8199,0,0,0,2.9541,0,2.9541,64.728
"CRMS0148",-89.69798,29.51235,2006,0,0.444,3.06,0,0.463,0.463,0.955,0,0,0.6538,2.8992,0,3.553,69.9271
"CRMS0153",-89.13546,29.11315,2006,0,0,3.668,0,0,0,3.5271,0,0,0,12.9386,0,12.9386,99.3505
"CRMS0154",-89.19796,29.11315,2006,0,0,2.904,0,0,0,1.793,0,0,0,5.7648,0,5.7648,54.4051
"CRMS0162",-89.13546,29.16395,2006,0,0,2.548,0,0,0,3.4313,0,0,0,8.7189,0,8.7189,94.7147
"CRMS0164",-90.16994,29.19306,2006,0,0,2.96,0,0,0,0.7528,0,0,0,2.2657,0,2.2657,45.347
"CRMS0171",-89.79605,29.32377,2006,0,0,3.328,0,0,0,1.0674,0,0,0,3.5908,0,3.5908,79.0675
"CRMS0172",-89.73433,29.31653,2006,0,0,2.844,0,0,0,1.1236,0,0,0,3.2304,0,3.2304,66.7172
"CRMS0173",-89.72993,29.4543,2006,0,0,3.54,0,0,0,0.9233,0,0,0,3.2775,0,3.2775,77.5729
"CRMS0174",-89.76302,29.3963,2006,0,0,3.18,0,0,0,0.8382,0,0,0,2.6462,0,2.6462,57.4462
"CRMS0175",-90.13792,29.2874,2006,0,0,2.78,0,0,0,0.7469,0,0,0,2.0852,0,2.0852,37.9614
"CRMS0176",-89.79333,29.41078,2006,0,0,2.34,0,0,0,0.7665,0,0,0,1.7961,0,1.7961,29.495
"CRMS0178",-90.04698,29.28748,2006,0,0.06,2.88,0,0,0.0792,0.5427,0,0,0.0475,1.5769,0,1.6244,24.7018
"CRMS0179",-89.69845,29.39623,2006,0,0,3.28,0,0,0,0.9844,0,0,0,3.2231,0,3.2231,71.3654
"CRMS0181",-89.70033,29.33823,2006,0,0,3.724,0,0,0,1.0628,0,0,0,3.9651,0,3.9651,91.2691
"CRMS0184",-90.07272,29.8026,2006,1.3,0,2.8,0.032,0,0,0.725,0.005,0,0,2.1072,0.0016,2.1088,32.1243
"CRMS0188",-90.13549,29.79541,2006,0.64,0,3.12,0,0,0,0.8414,0,0,0,2.5901,0,2.5901,38.6534
"CRMS0190",-90.26049,29.52686,2006,0,0,3.06,0,0,0,0.9205,0,0,0,2.7743,0,2.7743,40.6261
"CRMS0192",-90.54175,29.85348,2006,0,0,3.772,0,0,0,1.0362,0,0,0,3.9168,0,3.9168,55.6459
"CRMS0209",-89.79173,29.49057,2006,0,0,2.6,0,0,0,0.727,0,0,0,1.8947,0,1.8947,32.2442
"CRMS0211",-90.47925,29.7809,2006,0,0.16,3.7,0,0,0.2438,0.8868,0,0,0.195,3.2864,0,3.4814,49.6983
"CRMS0219",-90.32299,29.80267,2006,0,0,3.14,0,0,0,0.9478,0,0,0,2.969,0,2.969,43.0753
"CRMS0220",-90.07299,29.56315,2006,0,0,2.98,0,0,0,0.8778,0,0,0,2.6492,0,2.6492,52.3178
"CRMS0224",-89.91673,29.49782,2006,0,0,3.14,0,0,0,0.9905,0,0,0,3.1453,0,3.1453,67.1889
"CRMS0225",-90.01048,29.56315,2006,0,0,2.48,0,0,0,0.7589,0,0,0,1.892,0,1.892,32.9695
"CRMS0226",-89.88548,29.51234,2006,0,0,3.8,0,0,0,0.9172,0,0,0,3.4854,0,3.4854,80.3647
"CRMS0232",-90.01048,29.49783,2006,0,0,3.76,0,0,0,0.8624,0,0,0,3.243,0,3.243,76.4992
"CRMS0237",-89.94798,29.47605,2006,0,0,3.26,0,0,0,1.1674,0,0,0,3.8228,0,3.8228,85.5673
"CRMS0251",-90.01048,29.5196,2006,0,0,3.5,0,0,0,0.9599,0,0,0,3.3538,0,3.3538,77.1508
"CRMS0253",-90.07299,29.55589,2006,0,0,3.288,0,0,0,0.9341,0,0,0,3.0732,0,3.0732,69.1706
"CRMS0268",-90.60425,29.79541,2006,0,0.12,4,0,0,0.1524,0.9753,0,0,0.1829,3.9012,0,4.0841,58.2493
"CRMS0273",-90.32299,29.81718,2006,0,0,3.42,0,0,0,0.841,0,0,0,2.8746,0,2.8746,41.4902
"CRMS0276",-89.94798,29.62121,2006,0,0,2.7,0,0,0,0.7802,0,0,0,2.0464,0,2.0464,38.3668
"CRMS0278",-90.22924,29.80993,2006,0,0,3.24,0,0,0,0.7954,0,0,0,2.5727,0,2.5727,37.737
