"Site_id","Longitude","Latitude","veg_year","Percent_Cover_Tree(m??)","Percent_Cover_Shrub(m??)","Percent_Cover_Herb(m??)","Percent_Cover_Carpet(m??)","Avg_Height_Tree(m)","Avg_Height_Shrub(m)","Avg_Height_Herb(m)","Avg_Height_Carpet(m)","Volume_Tree(m??)","Volume_Shrub(m??)","Volume_Herb(m??)","Volume_Carpet(m??)","Volume_Vegetation(m??)","VVI"
"CRMS0002",-89.79173,30.10025,2007,0,0,3.26,0,0,0,0.902,0,0,0,2.9206,0,2.9206,64.6232
"CRMS0003",-89.25275,30.09937,2007,0,0,2.916,0,0,0,0.5006,0,0,0,1.4798,0,1.4798,20.7348
"CRMS0006",-89.97923,30.25993,2007,0,0,3.56,0,0,0,0.5884,0,0,0,2.0981,0,2.0981,38.6822
"CRMS0030",-90.32942,30.30482,2007,0,0.94,2.34,0,0,1.045,0.856,0,0,1.3586,2.0464,0,3.405,49.8781
"CRMS0033",-90.3855,30.27445,2007,0,0,3,0,0,0,0.79,0,0,0,2.3936,0,2.3936,35.2099
"CRMS0034",-90.3855,30.30348,2007,0,0.024,3.12,0,0,0.11,0.7143,0,0,0.0264,2.2493,0,2.2757,33.4196
"CRMS0108",-89.41592,29.95506,2007,0,0,3.44,0,0,0,0.8003,0,0,0,2.7616,0,2.7616,60.0647
"CRMS0114",-89.91673,29.75912,2007,0,0.12,3.58,0,0,0.1829,0.9477,0,0,0.2195,3.3733,0,3.5928,52.7077
"CRMS0115",-89.91673,29.78089,2007,0,0,2.88,0,0,0,0.8748,0,0,0,2.6316,0,2.6316,39.2699
"CRMS0117",-89.91673,29.80992,2007,0.28,0,3.12,0,0.2743,0,1.0819,0,0.768,0,3.3889,0,4.157,52.6187
"CRMS0118",-89.54172,29.37444,2007,0,0,3.02,0,0,0,0.8016,0,0,0,2.392,0,2.392,36.2224
"CRMS0119",-89.63548,29.47605,2007,0,0,3.46,0,0,0,0.8321,0,0,0,2.8773,0,2.8773,64.4736
"CRMS0120",-89.85423,29.84622,2007,0.18,0.92,2.8,0,0.1829,0.7864,0.8929,0,0.3292,1.2436,2.5324,0,4.1053,57.4673
"CRMS0121",-89.82298,29.69379,2007,0,0,3.24,0,0,0,0.6613,0,0,0,2.1034,0,2.1034,36.2536
"CRMS0125",-89.97923,29.76637,2007,0,0,3.1,0,0,0,0.9965,0,0,0,3.0022,0,3.0022,43.3723
"CRMS0128",-89.94798,29.8317,2007,0.24,0.16,3.26,0,0.2438,0.1311,1.1217,0,0.5851,0.2098,3.7413,0,4.5362,63.3436
"CRMS0129",-89.60422,29.46879,2007,0,0.04,3.16,0,0,0.1006,1.1655,0,0,0.0402,3.7418,0,3.7821,80.1381
"CRMS0131",-89.88552,29.69252,2007,0,0.18,3.32,0,0,0.3231,0.9538,0,0,0.3121,3.1521,0,3.4643,64.7463
"CRMS0132",-89.88548,29.66476,2007,0,0.84,2.96,0,0,0.8777,0.6799,0,0,1.1545,1.9806,0,3.1351,52.0988
"CRMS0135",-89.76048,29.68654,2007,0,0,3.312,0,0,0,0.8535,0,0,0,2.8464,0,2.8464,48.6207
"CRMS0136",-89.79173,29.62122,2007,0,0.152,3.42,0,0,0.5212,0.9219,0,0,0.2046,3.1348,0,3.3394,75.0457
"CRMS0139",-89.47922,29.3817,2007,0,0,3.28,0,0,0,1.3168,0,0,0,4.6394,0,4.6394,55.5872
"CRMS0146",-89.72923,29.73008,2007,0,0.18,2.44,0,0,0.289,1.0612,0,0,0.2556,2.5958,0,2.8514,58.9254
"CRMS0147",-89.60422,29.66476,2007,0,0,3.44,0,0,0,0.96,0,0,0,3.3201,0,3.3201,74.3407
"CRMS0148",-89.69798,29.51235,2007,0,0.36,3.52,0,0,0.4389,1.143,0,0,0.5474,4.0447,0,4.5921,82.3187
"CRMS0151",-89.13546,29.2075,2007,0,0,4,0,0,0,4.7372,0,0,0,18.9488,0,18.9488,100
"CRMS0153",-89.13546,29.11315,2007,0,0,3.92,0,0,0,4.7882,0,0,0,18.7681,0,18.7681,100
"CRMS0154",-89.19796,29.11315,2007,0,0,3.3,0,0,0,1.8715,0,0,0,6.5082,0,6.5082,64.562
"CRMS0156",-89.16671,29.16394,2007,0,0,3.2,0,0,0,4.2666,0,0,0,13.7779,0,13.7779,99.1214
"CRMS0157",-89.22921,29.12766,2007,0,0,3.64,0,0,0,3.4834,0,0,0,12.866,0,12.866,93.2705
"CRMS0159",-89.19796,29.04056,2007,0,0,2.92,0,0,0,3.1242,0,0,0,9.1836,0,9.1836,95.9525
"CRMS0161",-89.16671,29.29459,2007,0,0,3.36,0,0,0,3.2645,0,0,0,11.0127,0,11.0127,98.6413
"CRMS0162",-89.13546,29.16395,2007,0,0,2.68,0,0,0,3.9918,0,0,0,10.6206,0,10.6206,98.0002
"CRMS0163",-89.41672,29.21476,2007,0,0,3.92,0,0,0,4.8284,0,0,0,18.9151,0,18.9151,99.9998
"CRMS0164",-90.16994,29.19306,2007,0,0,3.46,0,0,0,0.8076,0,0,0,2.8128,0,2.8128,63.2826
"CRMS0171",-89.79605,29.32377,2007,0,0.088,2.28,0,0,0.218,0.8534,0,0,0.1002,1.9521,0,2.0524,40.4547
"CRMS0172",-89.73433,29.31653,2007,0,0,3.14,0,0,0,0.9632,0,0,0,3.0529,0,3.0529,68.7263
"CRMS0173",-89.72993,29.4543,2007,0,0,3.52,0,0,0,0.7742,0,0,0,2.7196,0,2.7196,60.698
"CRMS0174",-89.76302,29.3963,2007,0,0,2.94,0,0,0,0.6919,0,0,0,2.0488,0,2.0488,37.2414
"CRMS0175",-90.13792,29.2874,2007,0,0,3.42,0,0,0,0.7042,0,0,0,2.4223,0,2.4223,49.7869
"CRMS0176",-89.79333,29.41078,2007,0,0,3.12,0,0,0,0.7742,0,0,0,2.408,0,2.408,49.3954
"CRMS0178",-90.04698,29.28748,2007,0,0,3.24,0,0,0,0.625,0,0,0,2.0121,0,2.0121,36.1552
"CRMS0179",-89.69845,29.39623,2007,0,0,3.1,0,0,0,0.6432,0,0,0,1.9973,0,1.9973,35.4289
"CRMS0181",-89.70033,29.33823,2007,0,0,3.6,0,0,0,1.0362,0,0,0,3.728,0,3.728,88.4162
"CRMS0188",-90.13549,29.79541,2007,0.42,0.04,3.32,0.08,2.7432,0.125,1.0811,0.0152,2.1946,0.05,3.6377,0.0122,5.8944,71.2011
"CRMS0189",-90.26049,29.80993,2007,0,0,2.74,0.864,0,0,0.9923,0.231,0,0,2.6203,0.2514,2.8717,41.951
"CRMS0190",-90.26049,29.52686,2007,0,0,3.488,0,0,0,0.9509,0,0,0,3.3349,0,3.3349,49.0135
"CRMS0192",-90.54175,29.85348,2007,0,0,3.64,0,0,0,1.1581,0,0,0,4.2338,0,4.2338,59.2052
"CRMS0209",-89.79173,29.49057,2007,0,0,3.32,0,0,0,0.8686,0,0,0,2.8874,0,2.8874,65.3988
"CRMS0211",-90.47925,29.7809,2007,0,0,3.56,0,0,0,1.213,0,0,0,4.2961,0,4.2961,61.0695
"CRMS0219",-90.32299,29.80267,2007,0,0,2.52,0,0,0,1.1214,0,0,0,2.834,0,2.834,40.887
"CRMS0220",-90.07299,29.56315,2007,0,0,3,0,0,0,0.8747,0,0,0,2.6332,0,2.6332,50.1451
"CRMS0224",-89.91673,29.49782,2007,0,0,3.58,0,0,0,1.0574,0,0,0,3.7981,0,3.7981,84.9789
"CRMS0225",-90.01048,29.56315,2007,0,0,1.48,1.64,0,0,0.5974,0.0322,0,0,0.9978,0.069,1.0668,18.3713
"CRMS0226",-89.88548,29.51234,2007,0,0,3.52,0,0,0,0.9692,0,0,0,3.4166,0,3.4166,79.6227
"CRMS0232",-90.01048,29.49783,2007,0,0,3.66,0,0,0,0.949,0,0,0,3.4843,0,3.4843,80.7894
"CRMS0237",-89.94798,29.47605,2007,0,0,3.62,0,0,0,1.1459,0,0,0,4.1508,0,4.1508,93.9623
"CRMS0248",-90.07299,29.59944,2007,0,0,2.82,0,0,0,0.902,0,0,0,2.5445,0,2.5445,52.5773
"CRMS0251",-90.01048,29.5196,2007,0,0,3.42,0,0,0,1.0179,0,0,0,3.4804,0,3.4804,80.7865
"CRMS0253",-90.07299,29.55589,2007,0,0,3.032,0,0,0,0.8079,0,0,0,2.4219,0,2.4219,48.7576
