"Site_Id","veg_year","Percent_Cover_Tree (m²)","Percent_Cover_Shrub (m²)","Percent_Cover_Herb (m²)","Percent_Cover_Carpet (m²)","Avg_Height_Tree (m)","Avg_Height_Shrub (m)","Avg_Height_Herb (m)","Avg_Height_Carpet (m)","Volume_Tree (m³)","Volume_Shrub (m³)","Volume_Herb (m³)","Volume_Carpet (m³)","Volume_Vegetation (m³)","VVI",
"CRMS0002","2008","0","0","2.9","0","0","0","0.885","0","0","0","2.566","0","2.566","53.8859",
"CRMS0003","2008","0","0","3.192","0","0","0","0.467","0","0","0","1.5146","0","1.5146","22.027",
"CRMS0006","2008","0","0","3.232","0","0","0","0.73","0","0","0","2.366","0","2.366","47.6435",
"CRMS0030","2008","0.02","0.76","2.9","0","0.762","0.9485","0.65","0","0.1524","1.4322","1.888","0","3.4726","51.1026",
"CRMS0033","2008","0","0","3.42","0","0","0","0.785","0","0","0","2.694","0","2.694","46.2595",
"CRMS0034","2008","0","0","3.5","0","0","0","0.535","0","0","0","1.88","0","1.88","28.7268",
"CRMS0108","2008","0","0","3.6","0","0","0","0.79","0","0","0","2.853","0","2.853","63.837",
"CRMS0114","2008","0","0.12","3.252","0","0","0.2438","0.704","0","0","0.1463","2.3005","0","2.4468","35.9885",
"CRMS0115","2008","0","0","3.852","0","0","0","0.7894","0","0","0","3.0392","0","3.0392","44.307",
"CRMS0117","2008","0.26","0","3.08","0","0.4267","0","1.1795","0","0.6218","0","3.6763","0","4.2981","58.8914",
"CRMS0118","2008","0","0","2.32","0","0","0","1.0363","0","0","0","2.5128","0","2.5128","40.1058",
"CRMS0119","2008","0","0","3.18","0.024","0","0","0.5943","0.0152","0","0","1.8726","0.0011","1.8737","32.307",
"CRMS0120","2008","0.32","0.04","2.62","0","0.2743","0.2134","0.6462","0","0.8778","0.0853","1.6843","0","2.6474","35.6805",
"CRMS0121","2008","0","0","1.82","0","0","0","0.27","0","0","0","0.5746","0","0.5746","13.0122",
"CRMS0125","2008","0","0","2.92","0","0","0","0.89","0","0","0","2.6798","0","2.6798","39.4405",
"CRMS0128","2008","0.1","0","3.08","0","0.1829","0","0.7498","0","0.1829","0","2.3561","0","2.5389","37.4646",
"CRMS0129","2008","0","0","3.08","0","0","0","0.8961","0","0","0","2.7864","0","2.7864","60.7585",
"CRMS0131","2008","0","0.088","3.12","0","0","0.2286","0.6187","0","0","0.1012","1.9451","0","2.0463","30.5828",
"CRMS0132","2008","0","0.4982","2.4364","0","0","0.5819","0.8445","0","0","0.6883","2.0052","0","2.6935","53.2364",
"CRMS0135","2008","0","0.34","3.64","0","0","0.64","0.695","0","0","0.428","2.593","0","3.021","55.1435",
"CRMS0136","2008","0","0.44","2.58","0","0","0.701","0.7376","0","0","0.7071","1.8774","0","2.5846","46.384",
"CRMS0139","2008","0","0","2.98","0","0","0","1.4112","0","0","0","4.2946","0","4.2946","59.7365",
"CRMS0146","2008","0","0","2.46","0","0","0","0.7376","0","0","0","1.7879","0","1.7879","30.2607",
"CRMS0147","2008","0","0","2.72","0.068","0","0","0.4816","0.0033","0","0","1.2557","0.0009","1.2566","14.8268",
"CRMS0148","2008","0","0.34","3.184","0","0","0.5791","0.7894","0","0","0.4999","2.2251","0","2.725","56.6664",
"CRMS0151","2008","0","0","3.1","0","0","0","3.0114","0","0","0","9.3903","0","9.3903","97.4309",
"CRMS0153","2008","0","0","3.38","0","0","0","2.6013","0","0","0","8.7398","0","8.7398","89.686",
"CRMS0154","2008","0","0","2.86","0","0","0","1.6124","0","0","0","4.6866","0","4.6866","59.6583",
"CRMS0156","2008","0","0","2.38","0","0","0","2.6883","0","0","0","6.4355","0","6.4355","84.0023",
"CRMS0157","2008","0","0","2.82","0","0","0","1.9355","0","0","0","5.3675","0","5.3675","71.7405",
"CRMS0159","2008","0","0","2.8","0","0","0","2.1092","0","0","0","5.9058","0","5.9058","76.3203",
"CRMS0161","2008","0","0","2.6","0","0","0","2.9108","0","0","0","7.5834","0","7.5834","93.2217",
"CRMS0162","2008","0","0","2.2","0","0","0","2.6518","0","0","0","5.8034","0","5.8034","81.4791",
"CRMS0163","2008","0","0","2.76","0","0","0","3.0206","0","0","0","8.3356","0","8.3356","96.3002",
"CRMS0164","2008","0","0","2.76","0","0","0","0.6645","0","0","0","1.7782","0","1.7782","27.6749",
"CRMS0171","2008","0","0","3.38","0","0","0","0.9418","0","0","0","3.185","0","3.185","75.4722",
"CRMS0172","2008","0","0","3.16","0","0","0","0.9723","0","0","0","3.0784","0","3.0784","70.811",
"CRMS0173","2008","0","0","3.22","0","0","0","0.8869","0","0","0","2.8553","0","2.8553","65.5258",
"CRMS0174","2008","0","0","3.3","0","0","0","0.89","0","0","0","2.9552","0","2.9552","65.9449",
"CRMS0175","2008","0","0","2.424","0","0","0","0.6462","0","0","0","1.7288","0","1.7288","32.5316",
"CRMS0176","2008","0","0","2.96","0","0","0","0.8564","0","0","0","2.5273","0","2.5273","53.61",
"CRMS0178","2008","0","0","3.06","0","0","0","0.4877","0","0","0","1.5057","0","1.5057","22.669",
"CRMS0179","2008","0","0","3.1","0","0","0","0.8869","0","0","0","2.7602","0","2.7602","61.5449",
"CRMS0181","2008","0","0","3.16","0","0","0","0.7528","0","0","0","2.4157","0","2.4157","49.1401",
"CRMS0188","2008","0.34","0","3.58","0","2.7432","0","0.8382","0","2.4994","0","3.0455","0","5.5449","61.5734",
"CRMS0189","2008","0","0","3.16","0","0","0","1.0271","0","0","0","3.2979","0","3.2979","46.7529",
"CRMS0190","2008","0","0","3.06","0","0","0","0.9814","0","0","0","3.0108","0","3.0108","44.1014",
"CRMS0192","2008","0","0.52","2.3","0","0.1737","0.1737","0.6065","0","0","0.4517","1.7465","0","2.1982","32.4672",
"CRMS0209","2008","0","0","3.66","0","0","0","0.8351","0","0","0","3.0461","0","3.0461","69.0565",
"CRMS0211","2008","0","0","2.66","0","0","0","0.9052","0","0","0","2.4127","0","2.4127","35.4583",
"CRMS0219","2008","0","0","2.12","0","0","0","0.8138","0","0","0","1.7477","0","1.7477","27.1955",
"CRMS0220","2008","0","0","3.42","0","0","0","0.8229","0","0","0","2.818","0","2.818","59.5203",
"CRMS0224","2008","0","0","3.38","0","0","0","1.015","0","0","0","3.449","0","3.449","74.4657",
"CRMS0225","2008","0","0","3.54","0","0","0","1.0423","0","0","0","3.7609","0","3.7609","61.9344",
"CRMS0226","2008","0","0","3.36","0","0","0","1.0668","0","0","0","3.6093","0","3.6093","81.8159",
"CRMS0232","2008","0","0","3.52","0","0","0","0.8138","0","0","0","2.8778","0","2.8778","64.4707",
"CRMS0237","2008","0","0","3.38","0","0","0","1.0271","0","0","0","3.4874","0","3.4874","80.1477",
"CRMS0248","2008","0","0","3.52","0","0","0","0.7864","0","0","0","2.7761","0","2.7761","60.3124",
"CRMS0251","2008","0","0","3.34","0","0","0","1.0576","0","0","0","3.5355","0","3.5355","82.2059",
"CRMS0253","2008","0","0","3","0","0","0","0.7589","0","0","0","2.2907","0","2.2907","46.7232",
"CRMS0258","2008","0","0","3.34","0","0","0","0.8961","0","0","0","2.993","0","2.993","67.8174",
"CRMS0260","2008","0","0","3.66","0","0","0","1.0668","0","0","0","3.8977","0","3.8977","84.3475",
"CRMS0261","2008","0","0","3.16","0","0","0","0.9174","0","0","0","2.887","0","2.887","49.5344",
"CRMS0263","2008","0","0","3.06","0","0","0","0.8595","0","0","0","2.6785","0","2.6785","56.5451",
"CRMS0268","2008","0","0.26","2.56","0","0","0.4267","0.8412","0","0","0.5547","2.2408","0","2.7956","40.8",
"CRMS0272","2008","0","0","3.1","0","0","0","1.1369","0","0","0","3.5295","0","3.5295","78.7311",
"CRMS0273","2008","0","0","1.98","0","0","0","0.9387","0","0","0","1.9653","0","1.9653","30.5247",
"CRMS0276","2008","0","0","3.44","0","0","0","0.9997","0","0","0","3.4642","0","3.4642","76.0981",
"CRMS0278","2008","0","0","3.32","0","0","0","1.1186","0","0","0","3.8916","0","3.8916","37.3007",
"CRMS0282","2008","0","0","3.54","0","0","0","0.7248","0","0","0","2.594","0","2.594","57.7717",
"CRMS0287","2008","0","0","3.4","0","0","0","1.085","0","0","0","3.6843","0","3.6843","53.2623",
"CRMS0290","2008","0","0","2.66","0.152","0","0","0.8443","0.0094","0","0","2.2866","0.0043","2.2909","33.8283",
"CRMS0292","2008","0","0.22","2.364","0","0","0.3353","0.9296","0","0","0.384","2.1952","0","2.5792","45.7266",
"CRMS0293","2008","0","0","3.4","0","0","0","0.7498","0","0","0","2.556","0","2.556","53.6331",
"CRMS0294","2008","0","0","3.42","0","0","0","1.0851","0","0","0","3.6606","0","3.6606","52.3651",
"CRMS0296","2008","0","0","2.78","0.04","0","0","0.9906","0.0061","0","0","2.7249","0.0024","2.7273","39.6321",
"CRMS0301","2008","0.44","0.22","3.32","0","2.7432","0.6096","0.7224","0","6.4008","0.4389","2.4451","0","9.2848","53.0752",
"CRMS0302","2008","0","0","2.74","0","0","0","0.4968","0","0","0","1.3393","0","1.3393","15.5627",
"CRMS0303","2008","0","0","3.16","0","0","0","0.6827","0","0","0","2.1756","0","2.1756","40.9053",
"CRMS0305","2008","0","0.02","2.22","0","0","0.2743","0.7803","0","0","0.0549","1.741","0","1.7958","27.9165",
"CRMS0307","2008","0","0","3.16","0","0","0","0.9754","0","0","0","3.0846","0","3.0846","70.9272",
"CRMS0309","2008","0","0","2.9","0","0","0","0.9327","0","0","0","2.7164","0","2.7164","58.1106",
"CRMS0310","2008","0","0","2.42","0","0","0","0.8656","0","0","0","2.058","0","2.058","37.3358",
"CRMS0311","2008","0","0","3.22","0","0","0","0.823","0","0","0","2.6457","0","2.6457","58.0707",
"CRMS0312","2008","0","0","2.76","0.116","0","0","0.8016","0.0305","0","0","2.2152","0.019","2.2343","32.8006",
"CRMS0315","2008","0","0","3.06","0","0","0","0.9845","0","0","0","3.0101","0","3.0101","70.351",
"CRMS0318","2008","0","0","2.54","0","0","0","0.7468","0","0","0","1.894","0","1.894","33.7444",
"CRMS0319","2008","0","0","2.68","0","0","0","0.765","0","0","0","2.036","0","2.036","36.7044",
"CRMS0322","2008","0","0","2.6","0","0","0","0.6492","0","0","0","1.672","0","1.672","27.403",
"CRMS0326","2008","0","0","2.6","0","0","0","0.8778","0","0","0","2.2548","0","2.2548","41.438",
"CRMS0327","2008","0","0","2.956","0","0","0","0.6705","0","0","0","2.0544","0","2.0544","31.1827",
"CRMS0329","2008","0","0","2.9","0","0","0","0.8473","0","0","0","2.3817","0","2.3817","35.0237",
"CRMS0331","2008","0.04","0.02","3.34","0","0.0914","0.2743","0.7163","0","0.0366","0.0549","2.3866","0","2.478","36.2416",
"CRMS0332","2008","0","0","3.32","0","0","0","0.8199","0","0","0","2.7059","0","2.7059","58.7329",
"CRMS0335","2008","0","0","2.62","0","0","0","0.7467","0","0","0","1.9549","0","1.9549","33.0608",
"CRMS0336","2008","0","0","2.66","0","0","0","0.6492","0","0","0","1.7415","0","1.7415","27.2141",
"CRMS0337","2008","0","0","2.8","0","0","0","0.7193","0","0","0","2.0445","0","2.0445","37.8709",
"CRMS0338","2008","0","0","2.68","0","0","0","0.637","0","0","0","1.7044","0","1.7044","26.8079",
"CRMS0341","2008","0","0","2.76","0","0","0","0.8199","0","0","0","2.2792","0","2.2792","44.9041",
"CRMS0345","2008","0","0","2.9","0","0","0","0.698","0","0","0","2.0056","0","2.0056","35.3443",
"CRMS0347","2008","0","0","2.76","0","0","0","0.7925","0","0","0","2.186","0","2.186","41.6859",
"CRMS0354","2008","0","0","2.74","0.18","0","0","0.9266","0.0061","0","0","2.5402","0.0055","2.5456","42.8526",
